cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,nb_risque,lib_com,classe_ris
02066,Benay,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02067,Bergues-sur-Sambre,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Bergues-sur-Sambre,1
02068,Berlancourt,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02069,Berlise,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Berlise,1
02070,Bernot,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Bernot,1
02071,Berny-Rivière,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Berny-Rivière,1
02072,Berrieux,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02073,Berry-au-Bac,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Berry-au-Bac,1
02074,Bertaucourt-Epourdon,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02075,Berthenicourt,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Berthenicourt,1
02076,Bertricourt,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02077,Berzy-le-Sec,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02078,Besmé,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02079,Besmont,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Besmont,1
02080,Besny-et-Loizy,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Besny-et-Loizy,1
02081,Béthancourt-en-Vaux,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02082,Beugneux,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02083,Beuvardes,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Beuvardes,1
02084,Bézu-le-Guéry,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Bézu-le-Guéry,1
02085,Bézu-Saint-Germain,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Bézu-Saint-Germain,1
02086,Bichancourt,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Bichancourt,1
02087,Bieuxy,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02088,Bièvres,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02089,Billy-sur-Aisne,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Billy-sur-Aisne,1
02090,Billy-sur-Ourcq,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02091,Blanzy-lès-Fismes,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02093,Blérancourt,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Blérancourt,1
02094,Blesmes,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Blesmes,1
02095,Bohain-en-Vermandois,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,Bohain-en-Vermandois,1
02096,Bois-lès-Pargny,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
02097,Boncourt,60.0,Mouvement de Terrain,1999-12-25 00:00:00,1999-12-29 00:00:00,1,,1
