cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,nb_risque,lib_com,classe_ris_inon,classe_ris_mouv,classe_ris_sech,classe_ris_seis,classe_ris_temp
84047,Gargas,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,9.0,Gargas,4,0,0,0,0
84048,Gignac,54.0,Inondations,1994-11-04 00:00:00,1994-11-06 00:00:00,2.0,Gignac,1,0,0,0,0
84049,Gigondas,54.0,Inondations,1992-09-21 00:00:00,1992-09-23 00:00:00,2.0,Gigondas,1,0,0,0,0
84050,Gordes,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,13.0,Gordes,5,0,0,0,0
84051,Goult,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,9.0,Goult,4,0,0,0,0
84052,Grambois,54.0,Inondations,1988-04-07 00:00:00,1988-04-07 00:00:00,10.0,Grambois,4,0,0,0,0
84053,Grillon,54.0,Inondations,1992-08-29 00:00:00,1992-08-29 00:00:00,12.0,Grillon,4,0,0,0,0
84054,L'Isle-sur-la-Sorgue,54.0,Inondations,2000-09-19 00:00:00,2000-09-20 00:00:00,15.0,L'Isle-sur-la-Sorgue,5,0,0,0,0
84055,Jonquerettes,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,6.0,Jonquerettes,3,0,0,0,0
84056,Jonquières,54.0,Inondations,2002-09-08 00:00:00,2002-09-10 00:00:00,4.0,Jonquières,2,0,0,0,0
84057,Joucas,54.0,Inondations,1992-09-21 00:00:00,1992-09-23 00:00:00,6.0,Joucas,3,0,0,0,0
84058,Lacoste,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,3.0,Lacoste,2,0,0,0,0
84059,Lafare,54.0,Inondations,2002-09-09 00:00:00,2002-09-09 00:00:00,4.0,Lafare,2,0,0,0,0
84060,Lagarde-d'Apt,54.0,Inondations,2004-08-17 00:00:00,2004-08-18 00:00:00,2.0,Lagarde-d'Apt,1,0,0,0,0
84061,Lagarde-Paréol,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,4.0,Lagarde-Paréol,2,0,0,0,0
84062,Lagnes,54.0,Inondations,2000-09-20 00:00:00,2000-09-20 00:00:00,7.0,Lagnes,3,0,0,0,0
84063,Lamotte-du-Rhône,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,11.0,Lamotte-du-Rhône,4,0,0,0,0
84064,Lapalud,54.0,Inondations,2002-09-08 00:00:00,2002-09-10 00:00:00,10.0,Lapalud,4,0,0,0,0
84065,Lauris,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,8.0,Lauris,3,0,0,0,0
84066,Lioux,54.0,Inondations,1982-11-06 00:00:00,1982-11-10 00:00:00,1.0,Lioux,1,0,0,0,0
84067,Loriol-du-Comtat,54.0,Inondations,2002-09-08 00:00:00,2002-09-10 00:00:00,8.0,Loriol-du-Comtat,3,0,0,0,0
84068,Lourmarin,54.0,Inondations,2019-12-01 00:00:00,2019-12-01 00:00:00,6.0,Lourmarin,3,0,0,0,0
84069,Malaucène,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,10.0,Malaucène,4,0,0,0,0
84070,Malemort-du-Comtat,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,3.0,Malemort-du-Comtat,2,0,0,0,0
84071,Maubec,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,8.0,Maubec,3,0,0,0,0
84072,Mazan,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,11.0,Mazan,4,0,0,0,0
84073,Ménerbes,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,10.0,Ménerbes,4,0,0,0,0
84074,Mérindol,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,10.0,Mérindol,4,0,0,0,0
84075,Méthamis,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,6.0,Méthamis,3,0,0,0,0
84076,Mirabeau,54.0,Inondations,1987-08-23 00:00:00,1987-08-24 00:00:00,5.0,Mirabeau,2,0,0,0,0
84077,Modène,54.0,Inondations,2002-09-09 00:00:00,2002-09-10 00:00:00,4.0,Modène,2,0,0,0,0
84078,Mondragon,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,13.0,Mondragon,5,0,0,0,0
84079,Monieux,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,5.0,Monieux,2,0,0,0,0
84080,Monteux,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,10.0,Monteux,4,0,0,0,0
84081,Morières-lès-Avignon,54.0,Inondations,2002-09-08 00:00:00,2002-09-10 00:00:00,5.0,Morières-lès-Avignon,2,0,0,0,0
84082,Mormoiron,54.0,Inondations,2001-10-09 00:00:00,2001-10-10 00:00:00,6.0,Mormoiron,3,0,0,0,0
84083,Mornas,54.0,Inondations,2002-09-08 00:00:00,2002-09-10 00:00:00,8.0,Mornas,3,0,0,0,0
84084,La Motte-d'Aigues,54.0,Inondations,2019-12-01 00:00:00,2019-12-02 00:00:00,3.0,La Motte-d'Aigues,2,0,0,0,0
84085,Murs,54.0,Inondations,2015-10-03 00:00:00,2015-10-03 00:00:00,4.0,Murs,2,0,0,0,0
84086,Oppède,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,6.0,Oppède,3,0,0,0,0
84087,Orange,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,11.0,Orange,4,0,0,0,0
84088,Pernes-les-Fontaines,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,10.0,Pernes-les-Fontaines,4,0,0,0,0
84089,Pertuis,54.0,Inondations,1987-07-16 00:00:00,1987-07-17 00:00:00,14.0,Pertuis,5,0,0,0,0
84090,Peypin-d'Aigues,54.0,Inondations,2019-12-01 00:00:00,2019-12-02 00:00:00,8.0,Peypin-d'Aigues,3,0,0,0,0
84091,Piolenc,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,10.0,Piolenc,4,0,0,0,0
84092,Le Pontet,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,6.0,Le Pontet,3,0,0,0,0
84093,Puget,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,10.0,Puget,4,0,0,0,0
84094,Puyméras,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,3.0,Puyméras,2,0,0,0,0
84095,Puyvert,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,5.0,Puyvert,2,0,0,0,0
84096,Rasteau,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,8.0,Rasteau,3,0,0,0,0
84097,Richerenches,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,13.0,Richerenches,5,0,0,0,0
84098,Roaix,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,6.0,Roaix,3,0,0,0,0
84099,Robion,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,13.0,Robion,5,0,0,0,0
84100,La Roque-Alric,54.0,Inondations,1992-09-21 00:00:00,1992-09-23 00:00:00,2.0,La Roque-Alric,1,0,0,0,0
84101,La Roque-sur-Pernes,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,4.0,La Roque-sur-Pernes,2,0,0,0,0
84102,Roussillon,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,11.0,Roussillon,4,0,0,0,0
84103,Rustrel,54.0,Inondations,1994-01-06 00:00:00,1994-01-12 00:00:00,3.0,Rustrel,2,0,0,0,0
84104,Sablet,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,5.0,Sablet,2,0,0,0,0
84105,Saignon,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,18.0,Saignon,5,0,0,0,0
84105,Saignon,54.0,Inondations,1990-05-23 00:00:00,1990-05-23 00:00:00,18.0,Saignon,5,1,4,0,1
84106,Sainte-Cécile-les-Vignes,54.0,Inondations,2002-09-08 00:00:00,2002-09-10 00:00:00,14.0,Sainte-Cécile-les-Vignes,5,0,0,0,1
84107,Saint-Christol,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,3.0,Saint-Christol,2,0,0,0,1
84108,Saint-Didier,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,10.0,Saint-Didier,4,0,1,0,1
84109,Saint-Hippolyte-le-Graveyron,54.0,Inondations,1992-09-21 00:00:00,1992-09-23 00:00:00,2.0,Saint-Hippolyte-le-Graveyron,1,0,1,0,1
84110,Saint-Léger-du-Ventoux,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,4.0,Saint-Léger-du-Ventoux,2,0,0,0,1
84111,Saint-Marcellin-lès-Vaison,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,3.0,Saint-Marcellin-lès-Vaison,2,0,1,0,1
84112,Saint-Martin-de-Castillon,54.0,Inondations,2019-12-01 00:00:00,2019-12-02 00:00:00,10.0,Saint-Martin-de-Castillon,4,0,3,0,1
84113,Saint-Martin-de-la-Brasque,54.0,Inondations,1993-09-22 00:00:00,1993-09-24 00:00:00,2.0,Saint-Martin-de-la-Brasque,1,0,1,0,1
84114,Saint-Pantaléon,54.0,Inondations,2018-08-09 00:00:00,2018-08-09 00:00:00,4.0,Saint-Pantaléon,2,1,0,0,1
84115,Saint-Pierre-de-Vassols,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,3.0,Saint-Pierre-de-Vassols,2,0,1,0,1
84116,Saint-Romain-en-Viennois,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,3.0,Saint-Romain-en-Viennois,2,0,0,0,1
84117,Saint-Roman-de-Malegarde,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,7.0,Saint-Roman-de-Malegarde,3,0,0,0,1
84118,Saint-Saturnin-lès-Apt,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,7.0,Saint-Saturnin-lès-Apt,3,0,5,0,1
84119,Saint-Saturnin-lès-Avignon,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,8.0,Saint-Saturnin-lès-Avignon,3,0,2,0,1
84120,Saint-Trinit,54.0,Inondations,1994-01-06 00:00:00,1994-01-12 00:00:00,2.0,Saint-Trinit,1,0,0,0,1
84121,Sannes,54.0,Inondations,2015-08-24 00:00:00,2015-08-24 00:00:00,3.0,Sannes,2,0,0,0,1
84122,Sarrians,54.0,Inondations,2000-10-13 00:00:00,2000-10-14 00:00:00,13.0,Sarrians,5,0,1,0,1
84123,Sault,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,5.0,Sault,2,0,0,0,1
84124,Saumane-de-Vaucluse,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,3.0,Saumane-de-Vaucluse,2,0,0,0,1
84125,Savoillan,54.0,Inondations,2003-12-02 00:00:00,2003-12-04 00:00:00,5.0,Savoillan,2,0,0,0,1
84126,Séguret,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,8.0,Séguret,3,0,1,0,1
84127,Sérignan-du-Comtat,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,10.0,Sérignan-du-Comtat,4,0,1,0,1
84128,Sivergues,54.0,Inondations,1982-11-06 00:00:00,1982-11-10 00:00:00,1.0,Sivergues,1,0,0,0,1
84129,Sorgues,54.0,Inondations,2002-09-08 00:00:00,2002-09-09 00:00:00,15.0,Sorgues,5,0,0,0,1
84130,Suzette,54.0,Inondations,1992-09-21 00:00:00,1992-09-23 00:00:00,2.0,Suzette,1,0,0,0,1
84131,Taillades,54.0,Inondations,2000-09-19 00:00:00,2000-09-20 00:00:00,8.0,Taillades,3,1,0,0,1
84132,Le Thor,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,14.0,Le Thor,5,0,1,0,1
84133,La Tour-d'Aigues,54.0,Inondations,1988-04-07 00:00:00,1988-04-07 00:00:00,15.0,La Tour-d'Aigues,5,0,0,0,1
84134,Travaillan,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,6.0,Travaillan,3,0,1,0,1
84135,Uchaux,54.0,Inondations,2002-09-08 00:00:00,2002-09-10 00:00:00,5.0,Uchaux,2,0,1,0,1
84136,Vacqueyras,54.0,Inondations,1992-09-21 00:00:00,1992-09-23 00:00:00,2.0,Vacqueyras,1,0,3,0,1
84137,Vaison-la-Romaine,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,11.0,Vaison-la-Romaine,4,1,2,0,1
84138,Valréas,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,17.0,Valréas,5,0,1,0,1
84139,Fontaine-de-Vaucluse,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,3.0,Fontaine-de-Vaucluse,2,0,0,0,1
84140,Vaugines,54.0,Inondations,1982-11-06 00:00:00,1982-11-10 00:00:00,2.0,Vaugines,1,1,0,0,1
84141,Vedène,54.0,Inondations,2000-10-13 00:00:00,2000-10-14 00:00:00,7.0,Vedène,3,0,2,0,1
84142,Velleron,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,10.0,Velleron,4,0,1,0,1
84143,Venasque,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,6.0,Venasque,3,0,1,0,1
84144,Viens,54.0,Inondations,2019-12-01 00:00:00,2019-12-02 00:00:00,11.0,Viens,4,0,1,0,1
84145,Villars,54.0,Inondations,2003-12-01 00:00:00,2003-12-02 00:00:00,9.0,Villars,4,0,2,0,1
84146,Villedieu,54.0,Inondations,2003-12-01 00:00:00,2003-12-04 00:00:00,5.0,Villedieu,2,0,2,0,1
