return_mean_surge_level_counts,station_y_coordinate,station_x_coordinate
0,36.891999999999996,25.935
0,36.936,26.008000000000003
0,36.891999999999996,26.052
0,36.863,25.964000000000002
0,36.804,25.891
0,36.775,25.818
1,36.921,24.719
0,36.995,24.660999999999998
0,37.046,24.69
0,36.965,24.749000000000002
0,37.126,25.789
0,36.921,26.96
0,36.98,26.916999999999998
0,37.068000000000005,26.886999999999997
0,37.111999999999995,26.829
0,37.185,26.814
0,37.156,26.873
0,37.083,26.916999999999998
0,37.039,27.004
1,36.965,27.048000000000002
0,37.141,25.583000000000002
0,37.053000000000004,25.598000000000003
0,36.98,25.554000000000002
0,36.907,25.51
0,36.833,25.465999999999998
0,36.891999999999996,25.451999999999998
0,36.965,25.408
0,37.039,25.364
0,37.039,25.276
0,36.995,25.203000000000003
0,36.98,25.115
0,36.965,25.055999999999997
0,37.053000000000004,25.085
0,37.111999999999995,25.144000000000002
0,37.141,25.232
0,37.126,25.32
0,37.126,25.393
0,37.17,25.480999999999998
0,37.185,25.554000000000002
0,37.111999999999995,24.5
0,37.141,24.426
0,37.2,24.456
0,37.17,24.529
0,37.288000000000004,26.535999999999998
0,37.361,26.55
0,37.317,26.594
0,37.332,24.381999999999998
0,37.419000000000004,24.381999999999998
0,37.478,24.441
0,37.405,24.47
0,37.332,24.426
0,37.419000000000004,24.866
0,37.493,24.895
0,37.449,24.954
0,37.375,24.924
0,37.405,25.349
0,37.478,25.305
0,37.493,25.378
0,37.463,25.451999999999998
0,37.580999999999996,24.719
0,37.625,24.705
0,37.639,26.331
0,37.595,26.256999999999998
0,37.566,26.177
0,37.537,26.081999999999997
0,37.522,25.994
0,37.580999999999996,26.008000000000003
0,37.639,26.066999999999997
0,37.639,26.169
0,37.654,26.256999999999998
0,37.683,26.331
0,37.537,24.324
0,37.566,24.28
0,37.654,24.28
0,37.683,24.368000000000002
0,37.61,24.381999999999998
0,37.683,23.503
0,37.727,23.43
0,37.771,23.474
0,37.742,23.546999999999997
0,37.654,20.837
0,37.698,20.764
0,37.756,20.691
0,37.815,20.631999999999998
0,37.888000000000005,20.647
0,37.917,20.72
0,37.859,20.779
0,37.83,20.866999999999997
0,37.756,20.925
0,37.727,20.925
0,37.698,20.866999999999997
0,37.917,12.312000000000001
1,37.931999999999995,12.341
0,37.537,25.247
0,37.551,25.159000000000002
0,37.595,25.070999999999998
0,37.639,24.998
0,37.698,24.939
0,37.771,24.88
0,37.815,24.807
0,37.874,24.734
0,37.946999999999996,24.69
0,37.991,24.749000000000002
0,37.961,24.836
0,37.917,24.91
0,37.859,24.968000000000004
0,37.771,24.983
0,37.698,25.026999999999997
0,37.654,25.1
0,37.639,25.188000000000002
0,37.595,25.261
0,38.372,14.993
0,38.445,14.934000000000001
0,38.518,14.89
0,38.562,14.817
0,38.577,14.860999999999999
0,38.518,14.934000000000001
0,38.459,14.978
0,38.152,26.008000000000003
0,38.196,25.935
0,38.254,25.862
0,38.313,25.935
0,38.385999999999996,25.964000000000002
0,38.459,25.92
0,38.518,25.846999999999998
0,38.577,25.875999999999998
0,38.591,25.964000000000002
0,38.591,26.052
0,38.562,26.125
0,38.489000000000004,26.155
0,38.400999999999996,26.155
0,38.313,26.169
0,38.254,26.125
0,38.196,26.066999999999997
0,38.533,25.583000000000002
0,38.606,25.54
0,38.577,25.613000000000003
0,38.723,13.162
1,38.679,1.531
1,38.65,1.545
1,38.665,1.4580000000000002
1,38.679,1.3840000000000001
1,38.751999999999995,1.4280000000000002
1,38.694,1.4869999999999999
0,38.782,15.227
0,38.811,15.212
3,38.766999999999996,24.646
3,38.782,24.558000000000003
2,38.84,24.5
2,38.899,24.441
3,38.972,24.47
2,38.943000000000005,24.558000000000003
2,38.87,24.601999999999997
2,38.811,24.675
1,38.84,1.4140000000000001
1,38.84,1.355
1,38.855,1.2670000000000001
1,38.899,1.208
1,38.972,1.252
